id,client_name,client_address,billing_to,service_type,bill_description,ticket_id,billing_date,emailed,comments,invoice_no,invoice_date
,Gracious Hardwood Flooring Inc.,"106 Summerlea Rd, Brampton, ON L6T 5E5",Gracious Hardwood Flooring Inc.,na,"New - Dell  LCD S2725H
S/N# GMV4H34",#22632,2025-01-03,Yes,Ticket Closed,,
,Haulage North America,"473032 Dufferin County Rd 11 ,
 Orangeville ON L9W 2Y9",Haulage North America,na,"1 Domain + 1 Email Created
Domains :- hnapharmatransit.com
Email:- dispatch@hnapharmatransit.com
 ",#22006,2024-12-16,Yes,Ticket Closed,,
,Gracious Hardwood Flooring Inc.,"106 Summerlea Rd, Brampton, ON L6T 5E5",Gracious Hardwood Flooring Inc.,na,"Onsite Visit 2:30pm - 5:00pm
New - TP Link - 16-Port  Gigabit Desktop Switch (12V x 1A)
Move and Install - 4 PC setup, 1 VoiP, 1 N/W Printer.",#22559,2024-12-31,Yes,Ticket Closed,,
,Supreme Wire Products Ltd.,"20 Newkirk Court, Unit 11, Brampton,
 ON L6Z 0B5, Ontario",Supreme Wire Products Ltd.,na,Pankush Mailbox troubleshooting & Archiving,#22260,2024-12-23,Yes,Ticket Closed,,
,A Class Collission,"7130 Pacific Cir, Mississauga, ON L5T 2A6",A Class Collission,na,"New Yealink T54W
Serial Number : 301081G011205899
MAC: 249AD8A54168",#22245,2024-12-23,Yes,Ticket Closed,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"New RDP + DUO +Email 
(dig\veerpal)",#22010,2024-12-17,Yes,Ticket Closed,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"New RDP + DUO +Email 
(dig\sukhveer)",#22000,2024-12-17,Yes,Ticket Closed,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"Dell Laptop Latitude E7470   -   (dig\sukhveer)
Serial Number   7HC0PC2
Intel(R) Core(TM) i7-6650U CPU @ 2.20GHz, 2201 Mhz, 2 Core(s), 4 Logical Processor(s)
(RAM)  16.0 GB     HDD 256GB NVMe
",#22000,2024-12-17,Yes,Ticket Closed,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"New 5 VOIP Devices.

Product                                                 Serial Number                  MAC
Business Phone - SIP - T54W        801081G070062537        44DBD2622FOE
Business Phone - SIP - T54W        801081G070062754        44DBD262276E
Business Phone - SIP - T54W        201081E101200415        249AD826BD82
Business Phone - SIP - T54W        301081E081243935        249AD810B7D7
Business Phone - SIP - T54W        301081G011200999        249AD8A541D8",#22891,2025-01-31,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"New RDP + DUO + Email (dig\jinkal)
New Laptop (dig\jinkal)
        Dell Latitude 7490
        S/N# 8S6HTQ2        i5-7300U 16 GB, 256 GB NVMe",#23558,2025-01-31,Yes,,,
,Haulage North America,"473032 Dufferin County Rd 11 ,
 Orangeville ON L9W 2Y9",Haulage North America,na,"2 RDPs + 2 DUO for Haulage India (HNA6, HNA7)",#23333,2025-01-28,Yes,,,
,Haulage North America,"473032 Dufferin County Rd 11 ,
 Orangeville ON L9W 2Y9",Haulage North America,na,"- 1 HDMI to Display Converter Used.


----Haulage------
PC 1.
SerialNumber CMZ9ZV2
System Name        DESKTOP-C9EH8NN
System Manufacturer        Dell Inc.
System Model        OptiPlex 7060
Installed Physical Memory (RAM)        16.0 GB
HDD - 1TB NVMe + 500 GB SATA
Processor        Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz, 3192 Mhz, 6 Core(s), 12 Logical Processor(s)

-----------
PC 2.
HDD - 512 GB NVMe + 3 TB SATA Western Digital
SerialNumber MXL9515F3Z
System Name        DESKTOP-F85Q4MQ
System Manufacturer        HP
System Model        HP EliteDesk 800 G5 SFF
Installed Physical Memory (RAM)        16.0 GB
Processor        Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz, 3000 Mhz, 8 Core(s), 8 Logical Processor(s)


-------4 LCDs---------
LCD S2725H Dell        CN-0V8C56-WSL00-42S-313B Service Tag# 48THK04
LCD S2725H Dell        Service Tag# C0W4H34
HP E22 G4 Monitor        CNK1391269
HP E22 G4 Monitor        6CM20819W3",#23406,2025-01-27,Yes,,,
,Haulage North America,"473032 Dufferin County Rd 11 ,
 Orangeville ON L9W 2Y9",Haulage North America,na,"New VOIP device
SIP - T53 (Yealink)
S/N# 301086G041009441        
MAC# 44DBD22CD8DD",#22609,2025-01-27,Yes,,,
,MetroX,"13959 Airport Road, Caledon Ontario, L7C 2X6",MetroX,na,"New Laptop:-
LENOVO ThinkPad T480s
SerialNumber    PC0W91JA
(RAM)16.0 GB , CPU i7-8550U , HDD 1 TB NVMe
",#23089,2025-01-27,Yes,,,
,Haulage North America,"473032 Dufferin County Rd 11 ,
 Orangeville ON L9W 2Y9",Haulage North America,na,"2 New LCDs + 2 New Converters Installed.
S/N# of LCD S2725H Dell
-DZT4H34
-HJT4H34              
New 2 Qty Converter - HDMI to Display",#23345,2025-01-22,Yes,,,
,Haulage North America,"473032 Dufferin County Rd 11 ,
 Orangeville ON L9W 2Y9",Haulage North America,na,New Email created : invoice@haulagenorthamerica.com,#23314,2025-01-21,Yes,,,
,Fusion Placement Solutions,"7370 Bramalea Rd Unit 8, Mississauga, ON L5S 1N6",Fusion Placement Solutions,na,HP color MFP Printer Installation - 85$/-,#23312,2025-01-21,Yes,,,
,Icon Logistics,"1136A Lorimar Dr. Mississauga, ON L5S 1R8",Icon Logistics,na,Connecteam Setup,#23306,2025-01-21,Yes,Ticket Closed,,
,Icon Logistics,"1136A Lorimar Dr. Mississauga, ON L5S 1R8",Icon Logistics,na,"Amy's Laptop - Virus,Updates, Registry Issues -  Fixed.
",#23209,2025-01-20,Yes,Ticket Closed,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"1 New RDPs + 1 Emails + 1 DUOs
Username: dig\damanbeer",#23088,2025-01-16,Yes,Ticket Closed,,
,MetroX,"13959 Airport Road, Caledon Ontario, L7C 2X6",MetroX,na,New Email: Don.French@metrox.ca,#23089,2025-01-15,Yes,Ticket Closed,,
,Haulage North America,"473032 Dufferin County Rd 11 ,
 Orangeville ON L9W 2Y9",Haulage North America,na,New Phone number : 2892012662,#22609,2025-01-15,Yes,Ticket Closed,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"2 New RDPs + 2 Emails + 2 DUOs
Username: 
dig\fariba
dig\jagruthi","#22951
#22952",2025-01-15,Yes,Ticket Closed,,
,Hi-End Diesel Truck Repair Inc.,"1123 Lorimar Dr, Mississauga, ON L5S 1M5",Hi-End Diesel Truck Repair Inc.,na,"Brother Printer Issue - Resolved Reception Desk
Model L5700DW Series",#22792,2025-01-09,Yes,Ticket Closed,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"1 Laptop (Dig\shreya)

Dell Latitude 7480
S/N# 62VP3H2
i5-7300U 16 GB, 256 GB NVMe",#22474,2025-01-09,Yes,Ticket Closed,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"3 Laptops :-  Raman Grewal

Dell Latitude 7480  i5-7300U 16 GB, 256 GB NVMe
FXSF3H2
7Y6HTQ2
H7DHTQ2",#22766,2025-01-09,Yes,Ticket Closed,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"New RDP + DUO +Email 
Dig\inderpreet    INDIA",#22730,2025-01-07,Yes,Ticket Closed,,
,Diamond Insurance Group,Personal Laptop,Diamond Insurance Group,na,Windows Professional License for Home Edition Installed - Diamond User,#22714,2025-01-06,Yes,Ticket Closed,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"4 New RDPs + 4 Emails + 4 DUOs

Username: 

dig\shreya
dig\riya
dig\inderdeep
dig\rkhangura
","#22474
#22608
#22610
#22701
",2025-01-06,Yes,Ticket Closed,,
,Haulage North America,"473032 Dufferin County Rd 11 ,
 Orangeville ON L9W 2Y9",Haulage North America,na,"New Email Creation:
hardev@haulagenorthamerica.com",#21835,2024-12-11,Yes,Ticket Closed,,
,Gracious Hardwood Flooring Inc.,"106 Summerlea Rd, Brampton, ON L6T 5E5",Gracious Hardwood Flooring Inc.,na,Cisco Switch 48 Port Installed. Serial Number :- FOC1902Z1QT,#20781,2024-11-05,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"1 Qty - Dell Laptop Latitude 7480 S/N# 3QR4QQ2
1 Qty - Dell Laptop Latitude 7470 S/N# 4XB80G2

Configuration:-
i5-6300U CPU @ 2.40GHz - HDD 256GB SSD - (RAM) 16.0 GB",#20646,2024-11-01,Yes,Invoice to Diamond Insurance,,
,Haulage North America,"473032 Dufferin County Rd 11 ,
 Orangeville ON L9W 2Y9",Haulage North America,na,"2 New VOIP Extensions setup:-
202 & 203 - INDIA",#20731,2024-11-04,Yes,,,
,MSS MACHINING & FABRICATION,"286 Rutherford Rd S #4,
 Brampton, ON L6W 3K7
 905-230-0700",MSS MACHINING & FABRICATION,na,Data Backup to External HDD,#20549,2024-11-04,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"2 New RDPs + 2 Emails + 2 DUOs
Username: 
        dig\sirat    
        dig\manisha
",#20646,2024-11-01,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"2 New RDPs + 2 Emails + 2 DUOs
Username: 
	dig\amitesh    
	dig\gurmeet1
",#20626,2024-10-31,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"New Dell Laptop -   User: Amitesh
  SerialNumber : 6JVCRV2
  System Model Latitude 7480
  Processor Intel(R) Core(TM) i5-6200U CPU
  Installed Physical Memory (RAM) 16.0 GB
",#20615,2024-10-30,Yes,"Send Invoice to 
“Diamond Insurance""
",,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"Hardware Installed
1 (qty) - Cisco Switch 24 Port 
10 Patch Cables
3 (qty) - Dell LCD S2725H
S/N#
- 29THK04
- H8THK04
- H7THK04
5 (qty) - Dell Optiplex CPUs = i5 6th Gen 16 GB RAM 512 GB SSD
S/N#
- HV1QZV2
- 89KPCP2
- HV1RZV2
- HV0NZV2
- HV1NZV2",#20553,2024-10-29,Yes,"Send Invoice to Ravi Grewal
“2078359 Ontario Inc.""
",,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"1 New RDP + Email + DUO
  Username: dig\sahil1
  C1Node99",#20297,2024-10-22,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"New Laptop - dig\sahil1
  
  System Model Latitude 7480
  Processor Intel(R) Core(TM) i5-6200U CPU
  Installed Physical Memory (RAM) 16.0 GB
  SerialNumber : DD3CYY2",#20297,2024-10-22,Yes,"Send Invoice to jas@dig.insure
""Jasmeet Singh""",,
,Gracious Hardwood Flooring Inc.,"72 Devon Rd, Brampton, ON L6T 5B4",Gracious Hardwood Flooring Inc.,na,New RDP + DUO + QB   = Nitin,#20395,2024-10-22,Yes,,,
,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",Haulage North America,na,New Domain &Email created : Referencechecks@hnagroup.ca,#20272,2024-10-22,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"Caledon insurance company (2days - 6 hrs).

Pickup material from office.
Find path for cable pull.
Pulled 12 cables to designated location.
Dressed the cable.
Terminated both side and provided surface mount box.",#20296,2024-10-18,Yes,,,
,Gracious Hardwood Flooring Inc.,"72 Devon Rd, Brampton, ON L6T 5B4",Gracious Hardwood Flooring Inc.,na,"Gracious (1 day - 8 hrs.)

Pulled cable for 2 camera’s in warehouse and 2 in office’s.
Terminated the cables.
Mounted the cameras on the wall.
Replaced the switch from first floor to reception.
Moved the punch clock machine from warehouse to reception.
Found the port for 2 camera’s in the warehouse house and connected it.
Fixed Anjali printer not working the port is loose.",#20293,2024-10-18,Yes,,,
,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",Haulage North America,na,"Orangeville (1day - 8 hrs.)

Pulled 3 cables from the server room to office and 2*lunch room.
Fished the cable down the wall.
Terminated with jacks and face plate with caddy.
Removed all the rj45 jacks and terminated with keystone jacks.
Created 6 patch to extend the cable and connect the switch to the router.
Mounted all the devices back onto the newly provided rack.
Replaced the patch cables with newly provided short patch cables.",#20292,2024-10-18,Yes,,,
,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",Haulage North America,na,"New email ""rockwool@haulagenorthamerica.com""",#20283,2024-10-18,Yes,,,
,Sanjay Sharma,Smart Immigration,Sanjay Sharma,na,"Cabling job done by Ankit.

Smart immigration (1 day - 7 hrs.)

Toned and tested all the cables in main office.
Label all place and created a map for the same floor.
Removed the unwanted switches.
Traced the cable going from main office 204 to 207.
Reconnected the cable and made sure all devices in 204 and 207 worked before leaving.",#20295,2024-10-18,Yes,,,
,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",Haulage North America,na,New VOIP Ext 202 created for India - Kundan,#20233,2024-10-16,Yes,,,
,Supreme Wire Products Ltd.,"20 Newkirk Ct Unit 11,
Brampton, ON L6Z 0J8",Supreme Wire Products Ltd.,na,Windows 10 Installed and Data transferred ,#19841,2024-10-16,Yes,,,
,CIC Toronto,"155-2960 Drew Road,
Malton, Mississauga,ON L4T 0A5",CIC Toronto,na,"1 Display to VGA converter And 1 New CPU details:-
Serial Number : 702HZV2
16 GB RAM , 1TB SSD +500 GBIntel(R) Core(TM) i7-8700 CPU @ 3.20GHz, 3192 Mhz, 6 Core(s), 12 Logical Processor(s).",#20214,2024-10-15,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"1 New RDP + DUO + Email
  Username: dig\mohammad1
  C1Node98",#20112,2024-10-11,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"1 New RDP + DUO + Email
  Username: dig\khushwinder
  C1Node97",#20077,2024-10-10,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,2 Yealink power adapters collected by Dupinderpal Bhuttar,#20132,2024-10-09,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"1 New RDP + DUO
  Username: dig\manpreet1
  C1Node96",#20016,2024-10-08,Yes,,,
,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",Haulage North America,na,"New email ""Support@haulagenorthamerica.com""",#20014,2024-10-07,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"1 New RDP + Email + DUO
  Username: dig\naveed
  C1Node94",#19955,2024-10-04,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"1 New RDP +DUO Only (Email was created earlier)
  Username: dig\sandeep
  C1Node95",#19338,2024-10-04,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"Dell New Laptop - Harkaran Singh
  
  System Model Latitude 7480
  Processor Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz, 2401 Mhz, 2 Core(s), 4 Logical Processor(s)
  Installed Physical Memory (RAM) 16.0 GB
  SerialNumber : 837DYY2",#19875,2024-10-02,Yes,"Invoice to be sent to Shahroz email
""1000991334 Ontario Inc.""
","CC detais:-
4520880064210048
exp : 11/24  CVC: 524
Address: 500Alden Road,
unit#210 Markham, ON, 
L3R 5H5",
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"Dell New Laptop - Harkaran Singh
  
  System Model Latitude 7480
  Processor Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz, 2401 Mhz, 2 Core(s), 4 Logical Processor(s)
  Installed Physical Memory (RAM) 16.0 GB
  SerialNumber : G2HBYY2",#19880,2024-10-02,Yes,"Invoice to be sent to Shahroz email
""1000991334 Ontario Inc.""
",,
,MSS MACHINING & FABRICATION,"286 Rutherford Rd S #4,
 Brampton, ON L6W 3K7
 905-230-0700",MSS MACHINING & FABRICATION,na,"Canon Imagerunner2525 Network Printer setup. ( 1 hr. $100 + 13% = $113)
  Installation done on 3 PCs.
  PC Name: DESKTOP-5Q18MTA
  PC Name: DESKTOP-UF2PJUR
  PC Name: DESKTOP-DA8HHVJ",#19905,2024-10-02,Yes,,,
,Gracious Lighting & Home Furnishing,"101 Devon Road, Brampton L6T5A4",Gracious Lighting & Home Furnishing,na,3 Server HDD of capacity 600GB each Installed,#18220,2024-09-26,Yes,,,
,MetroX,"13959 Airport Road, Caledon Ontario, L7C 2X6",MetroX,na,"1 New Email:
  Email ID: greg.robitaille@Metrox.ca",#19731,2024-09-26,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"New Laptop - Ravinder Singh
  
  System Model Latitude 7480
  Processor Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz, 2401 Mhz, 2 Core(s), 4 Logical Processor(s)
  Installed Physical Memory (RAM) 16.0 GB
  SerialNumber : 5B6M1N2",#19651,2024-09-25,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"1 New RDP + Email + DUO
  Username: dig\ravinder
  C1Node93",#19651,2024-09-24,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"1 New RDP + Email + DUO
  Username: dig\amandeep
  C1Node92",#19522,2024-09-24,Yes,,,
,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",Haulage North America,na,"New Yealink T53 = 4 Qty
  Serial Number 
  301086G041006453 
  301086G041006441 
  301086G041009418 
  301086G041009439",#19682,2024-09-24,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"2 New Emails created .
  *Upload@dig.insure
  *Endorsement@dig.insure",#19576,2024-09-23,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"1 New RDP + Email + DUO
  Username: dig\komalpreet
  C1Node91",#19531,2024-09-23,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"New Laptop - dig\komalpreet
  
  System Model Latitude 7480
  Processor Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz, 2401 Mhz, 2 Core(s), 4 Logical Processor(s)
  Installed Physical Memory (RAM) 16.0 GB
  SerialNumber : FR3VNH2",#19531,2024-09-23,Yes,,,
,MSS MACHINING & FABRICATION,"286 Rutherford Rd S #4,
 Brampton, ON L6W 3K7
 905-230-0700",MSS MACHINING & FABRICATION,na,"Description = 1 hr ($100+13% = $113)
  Canon Imagerunner Printer Diagnose + Installation",#19584,2024-09-20,Yes,,,
,CIC Toronto,"155-2960 Drew Road,
 Malton, Mississauga,ON L4T 0A5",CIC Toronto,na,"Office 365 License installed.
  Arshpartap Singh (CIC)
  SerialNumber
  2UA4041FQG
  DESKTOP-8S5LK99",#19553,2024-09-19,Yes,,,
,Hi-End Diesel Truck Repair Inc.,"1123 Lorimar Dr, Mississauga, ON L5S 1M5",Hi-End Diesel Truck Repair Inc.,na,"12 V Power adapter for Dell Monitor And
  CPU - HP Compaq 82100 Elite
  S/N: 2UA2032151
  CPU : i5 - 20400CPU
  8 GB RAM
  128GB - SSD
  500 GB - SATA",#19547,2024-09-19,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"1 New RDP + Email + DUO
  Username: dig\Davinder
  C1Node 88",#19108,2024-09-13,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"1 New RDP + Email + DUO
  Username: dig\Vardeep
  C1Node89",#19108,2024-09-13,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"1 New RDP + Email + DUO
  Username: dig\neha
  C1Node90",#19129,2024-09-13,Yes,,,
,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",Haulage North America,na,New Email: domtar@haulagenorthamerica.com,#19206,2024-09-13,Yes,,,
