id,manufacturer,product_item,description,total_stock_received,serial_no,mac_product_no,comments,stock_in_date
302,Dell Laptop,Dell Latitude 7490,,1,4NBBLQ2,"i5-7300U 16 GB, 256 GB NVMe","TouchScreen, Storeroom Shelf",1/8/2025
307,HP CPU,HP EliteDesk 800 G5 SFF CPU,,1,MXL01826JF,Product# 9LL14EC#ABA,Windows 10 Pro - i7 8th Gen,1/29/2025
308,HP CPU,HP EliteDesk 800 G5 SFF CPU,,1,CZC9277TGK,Product# 5ZU14EC#ABJ,Windows 10 Pro - i7 8th Gen,1/29/2025
309,HP CPU,HP EliteDesk 800 G5 SFF CPU,,1,MXL0112VMD,Product# 8MB14UP# ABA,Windows 10 Pro - i5 9th Gen,1/29/2025
310,HP CPU,HP EliteDesk 800 G5 SFF CPU,,1,MXL011264Q,Product# 8MB14UP# ABA,Windows 10 Pro - i5 9th Gen,1/29/2025
311,HP CPU,HP EliteDesk 800 G5 SFF CPU,,1,MXL011264S,Product# 8MB14UP# ABA,Windows 10 Pro - i5 9th Gen,1/29/2025
312,HP Monitor,HP E22 G4 Monitor,,1,CNK1381KX0,,21.5 inch,1/29/2025
313,HP Monitor,HP E22 G4 Monitor,,1,CNK2010RDH,,21.5 inch,1/29/2025
314,HP Monitor,HP E22 G4 Monitor,,1,6CM2081BOX,,21.5 inch,1/29/2025
315,HP Monitor,HP E22 G4 Monitor,,1,6CM20819WV,,21.5 inch,1/29/2025
316,,Hard Disk,,4,,1 TB HD,,1/29/2025
319,Yealink,Business Phone - SIP - T53,,1,301086G060001417,44DBD24E388D,Manu Desk,1/30/2025
